term,sumsq,df,statistic,p.value,significativo
(Intercept),3872836437880.6035,1,425750.43884869595,0,Sí
Gender,126476743.19335938,1,13.9038995791401,1.9241815639255312e-4,Sí
Age,7960045926.099609,6,145.84457243208968,1.3005139638194588e-185,Sí
City_Category,27939239969.081055,2,1535.7146975776832,0,Sí
Product_Category_1,8761923757325.203,19,50695.780927583764,0,Sí
Residuals,5003426625268.725,550039,NA,NA,NA
