variable,GVIF,Df,GVIF_ajustado,problema_multicolinealidad
Gender,1.0173495206303473,1,1.0086374574793202,NO
Age,1.059731306079864,6,1.0048463215421184,NO
City_Category,1.0466108160755707,2,1.0114543922121277,NO
Product_Category_1,1.0332876947120766,19,1.000862099168787,NO
