term,df,statistic,p.value,significativo
(Intercept),1,288901.4976959231,0,Sí
Gender,1,15.12329123595974,1.0072486217406369e-4,Sí
Age,6,154.55613225824118,6.803487705581234e-197,Sí
City_Category,2,1517.6629026575893,0,Sí
Product_Category_1,19,167044.1691770401,0,Sí
Residuals,550039,NA,NA,NA
